Date,Open,High,Low,Close
2017-04-25,29825.14,29961.82,29780.84,29943.24
2017-04-26,30030.2,30167.09,29968.57,30133.35
2017-04-27,30141.39,30184.22,29973.4,30029.74
2017-04-28,30064.6,30067.64,29848.21,29918.4
2017-05-02,30021.49,30069.24,29804.12,29921.18
2017-05-03,29984.95,30020.59,29846.57,29894.8
2017-05-04,30069.72,30169.95,30007.4,30126.21
2017-05-05,30142.14,30176.55,29823.6,29858.8
2017-05-08,29915.12,30016.04,29877.41,29926.15
2017-05-09,29977.5,30017.82,29911.44,29933.25
2017-05-10,29988.78,30271.6,29987.44,30248.17
2017-05-11,30309.71,30366.43,30207.11,30250.98
2017-05-12,30285.61,30299.74,30111.45,30188.15
2017-05-15,30287.37,30357.96,30273.62,30322.12
2017-05-16,30391.48,30591.55,30363.37,30582.6
2017-05-17,30616.53,30692.45,30519.14,30658.77
2017-05-18,30466.82,30575.83,30393.72,30434.79
2017-05-19,30539.65,30712.35,30338.52,30464.92
2017-05-22,30638.88,30712.15,30516.87,30570.97
2017-05-23,30553.89,30610.64,30316.92,30365.25
2017-05-24,30446.77,30534.15,30247.6,30301.64
2017-05-25,30374.81,30793.43,30352.26,30750.03
2017-05-26,30765.77,31074.07,30745.57,31028.21
2017-05-29,30944.38,31214.39,30869.9,31109.28
2017-05-30,31111.73,31220.38,31064.04,31159.4
2017-05-31,31222.51,31255.28,31107.48,31145.8
2017-06-01,31117.09,31213.12,31062.02,31137.59
2017-06-02,31205.37,31332.56,31190.4,31273.29
2017-06-05,31274.74,31355.42,31198.22,31309.49
2017-06-06,31420.85,31430.32,31172.55,31190.56
2017-06-07,31252.71,31346.99,31172.98,31271.28
2017-06-08,31316.91,31354.51,31193.77,31213.36
2017-06-09,31196.86,31289.99,31087.28,31262.06
2017-06-12,31225.43,31225.43,31044.28,31095.7
2017-06-13,31091.1,31260.77,31062.34,31103.49
2017-06-14,31147.69,31190.36,31054.94,31155.91
2017-06-15,31222.89,31229.44,31026.48,31075.73
2017-06-16,31160.47,31182.73,31017.18,31056.4
2017-06-19,31168.98,31362.15,31163.35,31311.57
2017-06-20,31392.53,31392.53,31261.49,31297.53
2017-06-21,31302.18,31336.44,31193.61,31283.64
2017-06-22,31351.53,31522.87,31255.63,31290.74
2017-06-23,31352.57,31365.39,31110.39,31138.21
2017-06-27,31194.68,31294.96,30847.08,30958.25
2017-06-28,30988.87,31000.48,30798.7,30834.32
2017-06-29,30910.97,31097.92,30794.61,30857.52
2017-06-30,30824.97,30965.45,30680.66,30921.61
2017-07-03,31156.04,31258.33,31017.11,31221.62
2017-07-04,31331.21,31353.46,31166.37,31209.79
2017-07-05,31272.72,31284.64,31177.78,31245.56
2017-07-06,31298.42,31460.7,31264.86,31369.34
2017-07-07,31373.52,31426.29,31286.62,31360.63
2017-07-10,31510.62,31768.39,31471.41,31715.64
2017-07-11,31789.5,31885.11,31718.48,31747.09
2017-07-12,31813.24,31865.69,31731.43,31804.82
2017-07-13,31896.23,32091.52,31892.63,32037.38
2017-07-14,32099.93,32109.75,31897.87,32020.75
2017-07-17,32053.98,32131.92,32037.21,32074.78
2017-07-18,31775.54,31911.61,31626.44,31710.99
2017-07-19,31882.8,31978.89,31793.72,31955.35
2017-07-20,32033.82,32057.12,31859.5,31904.4
2017-07-21,32035.88,32062.23,31808.93,32028.89
2017-07-24,32100.22,32320.86,32058.33,32245.87
2017-07-25,32350.71,32374.3,32196.86,32228.27
2017-07-26,32255.99,32413.63,32226.08,32382.46
2017-07-27,32519.44,32672.66,32325.33,32383.3
2017-07-28,32381.36,32381.36,32104.66,32309.88
2017-07-31,32412.2,32546.5,32324.45,32514.94
2017-08-01,32579.8,32632.02,32462.25,32575.17
2017-08-02,32641.58,32686.48,32394.89,32476.74
2017-08-03,32502.55,32502.55,32194.58,32237.88
2017-08-04,32191.12,32352.19,32107.99,32325.41
2017-08-07,32377.8,32396.14,32235.82,32273.67
2017-08-08,32341.05,32354.77,31915.2,32014.19
2017-08-09,31926.14,31967.28,31731.91,31797.84
2017-08-10,31750.73,31756.27,31422.8,31531.33
2017-08-11,31355.92,31379.2,31128.02,31213.59
2017-08-14,31299.52,31526.4,31298.9,31449.03
2017-08-16,31566.24,31805.99,31399.35,31770.89
2017-08-17,31919.17,31937.51,31714.1,31795.46
2017-08-18,31729.88,31729.88,31349.13,31524.68
2017-08-21,31609.93,31641.81,31220.53,31258.85
